"date","close","volume","open","high","low"

"2018/01/19","1143.5000","1449097.0000","1138.0300","1143.7797","1132.5000"
"2018/01/18","1135.9700","1372015.0000","1139.3500","1140.5850","1124.4650"
"2018/01/17","1139.1000","1389212.0000","1136.3600","1139.3200","1123.4900"
"2018/01/16","1130.7000","1803008.0000","1140.3100","1148.8800","1126.6600"
"2018/01/12","1130.6500","1926815.0000","1110.1000","1131.3025","1108.0101"
"2018/01/11","1112.0500","1109701.0000","1112.3100","1114.8500","1106.4800"
"2018/01/10","1110.1400","1036362.0000","1107.0000","1112.7800","1103.9842"
"2018/01/09","1112.7900","1338828.0000","1118.4400","1118.4400","1108.2010"
"2018/01/08","1114.2100","1231344.0000","1111.0000","1119.1600","1110.0000"
"2018/01/05","1110.2900","1512493.0000","1103.4500","1113.5799","1101.7950"
"2018/01/04","1095.7600","1302470.0000","1097.0900","1104.0765","1094.2600"
"2018/01/03","1091.5200","1564410.0000","1073.9300","1096.1000","1073.4300"
"2018/01/02","1073.2100","1587358.0000","1053.0200","1075.9800","1053.0200"
"2017/12/29","1053.4000","1178433.0000","1055.4900","1058.0500","1052.7000"
"2017/12/28","1055.9500","993945.0000","1062.2500","1064.8400","1053.3800"
"2017/12/27","1060.2000","1115893.0000","1066.6000","1068.2700","1058.3800"
"2017/12/26","1065.8500","918251.0000","1068.6400","1068.8600","1058.6401"
"2017/12/22","1068.8600","885293.0000","1070.0000","1071.7200","1067.6400"
"2017/12/21","1070.8500","1247608.0000","1075.3900","1077.5200","1069.0000"
"2017/12/20","1073.5600","1435721.0000","1080.9200","1081.2350","1068.6000"
"2017/12/19","1079.7800","1291608.0000","1083.0200","1084.9750","1072.2704"
"2017/12/18","1085.0900","1512241.0000","1076.4500","1086.4900","1070.3700"
"2017/12/15","1072.0000","3184555.0000","1063.7800","1075.2500","1060.0901"
"2017/12/14","1057.4700","1545568.0000","1055.4900","1067.0800","1053.5950"
"2017/12/13","1051.3900","1383935.0000","1052.0800","1055.4800","1046.5800"
"2017/12/12","1048.7700","1692799.0000","1050.0000","1062.5000","1044.8700"
"2017/12/11","1051.9700","1161981.0000","1051.1100","1056.0000","1044.1200"
"2017/12/08","1049.3800","1491994.0000","1051.8100","1056.4200","1045.8600"
"2017/12/07","1044.5700","1542074.0000","1036.0700","1048.9200","1035.3600"
"2017/12/06","1032.7200","1380665.0000","1016.5200","1039.5800","1015.3100"
